survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species
2023-01-25,พระนครศรีอยุธยา,14.341296,100.725019,นิเวศข้าวกับพืชอื่น,ตั้งท้อง,กข43,0,0,1.099,0,0,0,0,0,0,0.82399999999999995,0,0,0,0,0,0,0,0,9.3409999999999993,0.27500000000000002,0,0,0,0,0,0,0,0,0,0,0,0,15,หญ้า,หญ้าดอกขาว
2023-01-19,แพร่,18.271944000000001,100.307778,นาชลประทาน,แตกกอ,เฟืองงาม,11.65,0,0,0,0,0,0,0,0,2.5409999999999999,0,0,0,0,0,0,0,0,32.305,0.90700000000000003,0,0,0,0,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
2023-01-18,แพร่,18.247222000000001,100.206667,นาชลประทาน,แตกกอ,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.894,0,0,0,0,0,0,0,0,0,0,0,0,0,5,กก,หนวดปลาดุก
2023-01-18,แพร่,18.262778000000001,100.207222,นาชลประทาน,ระยะกล้า,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.141999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-01-19,แพร่,18.226666999999999,100.231944,นาชลประทาน,ระยะกล้า,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.440999999999999,0.67600000000000005,0,0,0,0,0,0,0,0,0,0,0,0,1.6666700000000001,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
2023-01-24,เชียงใหม่,18.7775,99.161666999999994,นาชลประทาน,แตกกอ,CP888,0,0,0,0,0,0,0,0,0,0.41399999999999998,0,0,0,0,0,0,0,0,12.965999999999999,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.6666700000000001,หญ้า,หญ้าข้าวนก
2023-01-24,เชียงใหม่,18.695,98.908610999999993,นาชลประทาน,แตกกอ,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,14.144,5.0869999999999997,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ผักแว่น
2023-01-24,เชียงใหม่,18.778055999999999,99.161111000000005,นาชลประทาน,แตกกอ,CP888,5.7469999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0230000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-01-23,เชียงใหม่,18.629443999999999,98.887777999999997,นาชลประทาน,แตกกอ,กข22,0,0,0,0,0,0,0,0,0,0.32100000000000001,0,0,0,0,0,0,0,0,3.8460000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-14,เชียงราย,19.589721999999998,99.720556000000002,นาชลประทาน,แตกกอ,ก.วก.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91700000000000004,0,0,2.1280000000000001,0,0,0,0,0,0,0,0,0,1.6666700000000001,กก,หนวดปลาดุก
2023-02-14,เชียงราย,19.603226800000002,99.775660000000002,นาชลประทาน,ระยะกล้า,พิษณุโลก 2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.32700000000000001,1.3069999999999999,0,0,0.98,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-02-14,เชียงราย,19.773333000000001,99.750833,นาชลประทาน,ระยะกล้า,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.653,0,0,0,0,0,0,0,0,0,0,0,0,0,5,กก,กกสามเหลี่ยม
2023-02-14,เชียงราย,19.856365,99.794998000000007,นาชลประทาน,แตกกอ,ก.วก.2,2.3809999999999998,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,8.4179999999999993,0,0,1.02,0,0,0,0,0,0,0,0,0,5,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
2023-02-20,เชียงราย,19.525020000000001,99.733356999999998,นาชลประทาน,ระยะกล้า,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666700000000001,กก,หนวดปลาดุก
2023-02-24,แพร่,18.024722000000001,100.095,นาชลประทาน,แตกกอ,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.922999999999998,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
